brand1,brand2,lift value,,Sum of lift value,Column Labels,,,,,,,,,,
benz,infiniti,2.3938444,,,,,,,,,,,,,
volvo,infiniti,2.097185112,,,,,,,,,,,,,
honda,infiniti,2.024585739,,,,,,,,,,,,,
infiniti,lexus,3.218790779,,,,,,,,,,,,,
toyota,lexus,3.086664028,,,,,,,,,,,,,
benz,lexus,3.085299456,,,,,,,,,,,,,
volvo,lexus,2.413929561,,,,,,,,,,,,,
honda,lexus,1.930706162,,,,,,,,,,,,,
nissan,lexus,1.674641148,,,,,,,,,,,,,
toyota,nissan,4.613807245,,,,,,,,,,,,,
benz,nissan,1.692789969,,,,,,,,,,,,,
benz,volvo,4.355716878,,,,,,,,,,,,,
toyota,volvo,2.628752332,,,,,,,,,,,,,
nissan,volvo,1.435406699,,,,,,,,,,,,,
acura,acura,0,,,,,,,,,,,,,
audi,audi,0,,,,,,,,,,,,,
benz,benz,0,,,,,,,,,,,,,
bmw,bmw,0,,,,,,,,,,,,,
honda,honda,0,,,,,,,,,,,,,
infiniti,infiniti,0,,,,,,,,,,,,,
lexus,lexus,0,,,,,,,,,,,,,
nissan,nissan,0,,,,,,,,,,,,,
toyota,toyota,0,,,,,,,,,,,,,
volvo,volvo,0,,,,,,,,,,,,,
