Field1,Field2,lift Score,,Sum of lift Score,Column Labels,,,,,,,,,,
luxury,interior,1.888294847,,,,,,,,,,,,,
luxury,driving,1.602800295,,,,,,,,,,,,,
luxury,lexus,2.426404996,,,,,,,,,,,,,
luxury,infiniti,2.101134613,,,,,,,,,,,,,
luxury,acura,1.963276836,,,,,,,,,,,,,
luxury,audi,1.877217186,,,,,,,,,,,,,
luxury,bmw,1.404714428,,,,,,,,,,,,,
performance,driving,2.012217032,,,,,,,,,,,,,
performance,interior,1.619612846,,,,,,,,,,,,,
performance,luxury,3.731615072,,,,,,,,,,,,,
performance,lexus,1.757285776,,,,,,,,,,,,,
performance,price,1.755556696,,,,,,,,,,,,,
performance,audi,1.700941764,,,,,,,,,,,,,
performance,acura,1.597796143,,,,,,,,,,,,,
performance,bmw,1.5782346,,,,,,,,,,,,,
performance,infiniti,1.536780275,,,,,,,,,,,,,
price,interior,1.81333111,,,,,,,,,,,,,
price,performance,1.755556696,,,,,,,,,,,,,
price,driving,1.248987308,,,,,,,,,,,,,
price,infiniti,2.348442072,,,,,,,,,,,,,
price,luxury,2.131803348,,,,,,,,,,,,,
price,lexus,1.830663616,,,,,,,,,,,,,
price,acura,1.785714286,,,,,,,,,,,,,
price,bmw,1.68817527,,,,,,,,,,,,,
price,audi,1.625018056,,,,,,,,,,,,,
infiniti,infiniti,0,,,,,,,,,,,,,
lexus,lexus,0,,,,,,,,,,,,,
luxury,luxury,0,,,,,,,,,,,,,
price,price,0,,,,,,,,,,,,,
performance,performance,0,,,,,,,,,,,,,
driving,driving,0,,,,,,,,,,,,,
interior,interior,0,,,,,,,,,,,,,
audi,audi,0,,,,,,,,,,,,,
bmw,bmw,0,,,,,,,,,,,,,
acura,acura,0,,,,,,,,,,,,,
